bookID,title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,Year,publisher,Publisher trim,Publisher clean,Left function
25489,A Quick Bite (Argeneau #1),Lynsay Sands,3.91,360,35275,1370,31/03/2020,2020,Avon,,,
39503,American Genesis: Captain John Smith and the Founding of Virginia,Alden T. Vaughan,3.43,224,23,2,17/08/2019,2019,Pearson,,,
16993,The Art of Loving,Erich Fromm/Peter D. Kramer/Rainer Funk,4.04,192,38148,1310,06/08/2019,2019,Harper Perennial Modern Classics,,,
36652,Object Thinking,David      West,3.99,334,155,21,23/07/2019,2019,Microsoft Press,,,
36157,The Wish Giver: Three Tales of Coven Tree,Bill Brittain/Andrew Glass,3.83,192,2201,218,02/04/2019,2019,HarperCollins,,,
6426,Monster,Walter Dean Myers,3.72,281,56171,5341,05/03/2019,2019,Amistad,,,
20183,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,125,26,4,11/02/2019,2019,St. Augustines Press,,,
37347,The Perfume Factory,Alex Austin,4.18,227,9,2,12/12/2018,2018,Kindle,,,
4583,El alquimista: una fÃ¡bula para seguir tus sueÃ±os,Paulo Coelho/Juan GodÃ³ Costa,3.86,192,775,43,23/10/2018,2018,Rayo,,,
1563,El diablo de la botella,Robert Louis Stevenson/Diana Castellanos/Eleonora Garcia Larralde,3.74,77,34,2,15/07/2018,2018,Grupo Editorial Norma  S.A.,,,
16609,Ariel: The Restored Edition,Sylvia Plath/Frieda Hughes,4.27,256,3737,283,06/03/2018,2018,Harper Perennial Modern Classics,,,
13423,El Perfume: Historia De Un Asesino,Patrick SÃ¼skind,4.02,312,17,1,19/02/2018,2018,Planeta Publishing,,,
7891,Access the Power of Your Higher Self: Your Source of Inner Guidance and Spiritual Transformation (Pocket Guides to Practical Spirituality),Elizabeth Clare Prophet,4.21,100,55,6,21/09/2017,2017,Summit University Press,,,
20954,Billy Budd  Sailor and Other Uncompleted Writings: The Writings of Herman Melville  Volume 13,Herman Melville/Hershel Parker/G. Thomas Tanselle/Harrison Hayford/Robert Sandberg/Alma MacDougall Reising,3.11,1016,0,0,15/09/2017,2017,Northwestern Univ Press,,,
36193,Rick Steves' Europe Through the Back Door,Rick Steves,4.24,808,3569,70,12/09/2017,2017,Avalon Travel,,,
762,Soul Mates & Twin Flames: The Spiritual Dimension of Love & Relationships (Pocket Guide to Practical Spirituality),Elizabeth Clare Prophet,3.79,155,141,5,17/08/2017,2017,Summit University Press,,,
38529,Breakfast of Champions,Robert Egan/Kurt Vonnegut Jr.,4,106,17,0,07/04/2017,2017,Samuel French  Inc.,,,
19448,A Clockwork Orange (Stage Play),Anthony Burgess,3.84,51,28,2,10/03/2017,2017,Methuen Drama,,,
10255,The Tarot Cafe  #1,Sang-Sun Park,3.88,176,1829,85,07/03/2017,2017,TokyoPop,,,
2718,Mistaken Identity,Nayantara Sahgal,2.98,324,0,0,30/12/2016,2016,Harper Collins,,,
39315,When the Heart Waits: Spiritual Direction for Life's Sacred Questions,Sue Monk Kidd,4.13,240,2366,231,11/10/2016,2016,HarperOne,,,
21059,A Man of the People,Chinua Achebe,3.87,160,3294,208,16/08/2016,2016,Penguin Books ,Penguin Books,Penguin Books ,Penguin
35108,Relatos de lo inesperado,Roald Dahl/Carmelina PayÃ¡/Antonio Samons,4.18,320,387,30,30/06/2016,2016,Anagrama,,,
5975,Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,3.97,402,12940,894,01/03/2016,2016,Tor Books,,,
11880,The Full Box (Full  #1-4),Janet Evanovich/Charlotte Hughes,4.29,0,101,3,16/02/2016,2016,Macmillan Audio,,,
41278,The Monk Who Sold His Ferrari: A Fable about Fulfilling Your Dreams and Reaching Your Destiny (Revised),Robin S. Sharma,3.83,241,781,93,31/12/2015,2015,Harper Element,,,
30733,Invitation to a Beheading,Vladimir Nabokov,3.9,192,342,23,03/08/2015,2015,Penguin Books Ltd,Penguin Books Ltd,Penguin Books Ltd,Penguin
3579,Like A Charm,Karin Slaughter/Peter Robinson/John Connolly/Denise Mina/Mark Billingham,3.48,384,22,4,26/05/2015,2015,William Morrow Paperbacks,,,
5665,Mere Christianity,C.S. Lewis/Kathleen Norris,4.32,227,7665,664,21/04/2015,2015,Marvel Comics,,,
23979,Miracleman  Book Three: Olympus,Alan Moore/John Totleben/Steve Oliff/Joe Caramagna/Michael Kelleher/Peter Milligan/Mike Allred,4.39,328,1768,93,21/04/2015,2015,HarperOne,,,
22945,Meeting Jesus Again for the First Time: The Historical Jesus and the Heart of Contemporary Faith,Marcus J. Borg,4.12,160,4272,260,07/04/2015,2015,HarperOne,,,
404,Reading the Bible Again for the First Time: Taking the Bible Seriously but Not Literally,Marcus J. Borg,4.13,321,2959,187,07/04/2015,2015,HarperOne,,,
23237,Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,4.29,450,489,57,24/03/2015,2015,Nonpareil Books,,,
18273,Through a Brazen Mirror,Delia Sherman/Cortney Skinner/Ellen Kushner,3.37,100,116,12,25/02/2015,2015,Dedalus Limited,,,
28865,The Perfume of the Lady in Black,Gaston Leroux/Margaret Jull Costa/Terry Hale,3.53,252,71,14,25/02/2015,2015,Circlet Press,,,
39797,Easy Riders  Raging Bulls: How the Sex-Drugs-And-Rock-'N'-Roll Generation Saved Hollywood,Peter Biskind,4.12,506,414,26,10/12/2014,2014,Bloomsbury Publishing PLC,,,
6505,How to Read Literature Like a Professor,Thomas C. Foster,3.65,314,16550,1826,14/11/2014,2014,Harper Perennial,,,
16033,Libraries,Candida HÃ¶fer/Umberto Eco,4.28,271,303,44,20/08/2014,2014,Schirmer/Mosel,,,
14712,Ham on Rye,Charles Bukowski,4.14,288,65829,2318,29/07/2014,2014,Ecco,,,
18144,Women,Charles Bukowski,3.86,291,52415,2081,29/07/2014,2014,Ecco,,,
12537,The Secret Garden Coloring Book,Brian Doherty/Frances Hodgson Burnett/Thea Kliros,4.25,48,4,0,16/07/2014,2014,Dover Publications,,,
13504,A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie/Michael Bakewell/June Whitfield/Nicky Henson/Derek Waring/Natasha Pyne,3.86,2,38,3,01/04/2014,2014,Blackstone Audiobooks,,,
31881,Back to the Bedroom (Elsie Hawkins #1),Janet Evanovich,3.68,234,10077,486,25/02/2014,2014,Harper,,,
13500,Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,4.3,192,3587,179,18/02/2014,2014,HarperCollins,,,
24403,Soul Mates: Honouring the Mysteries of Love and Relationship,Thomas  Moore,3.99,288,4372,81,13/12/2013,2013,Harper Perennial,,,
26154,The Acme Novelty Datebook  Vol. 1  1986-1995,Chris Ware,4.17,208,504,23,26/11/2013,2013,Drawn and Quarterly,,,
23228,Pedro PÃ¡ramo,Juan Rulfo,4.05,122,504,44,31/10/2013,2013,Anagrama,,,
23227,Orlando: A Biography: Film Screenplay,Sally Potter/Virginia Woolf,4.07,75,84,7,25/10/2013,2013,Faber & Faber,,,
11516,An American Childhood,Annie Dillard,3.91,255,7102,604,15/10/2013,2013,Harper Perennial,,,
32295,Lafcadio  the Lion Who Shot Back,Shel Silverstein,4.15,112,5308,307,24/09/2013,2013,HarperCollins,,,
7375,Macbeth,William Shakespeare,3.9,249,592315,7791,01/07/2013,2013,Simon  Schuster,,,
9903,Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,Harry Graham/Frank J. Moore/D. Streamer,3.86,64,44,10,19/06/2013,2013,Dover Publications,,,
5805,The Journals of Sylvia Plath,Sylvia Plath/Karen V. Kukil,4.31,752,106,9,13/06/2013,2013,Faber & Faber,,,
